PID,Time_Bin,Mean_RSSI,Median_RSSI,Std_RSSI,Var_RSSI,Max_RSSI,Min_RSSI,Mean_Time_Interval,Std_Time_Interval,Unique_Locations,RSSI_Count,Counterfeit
PID001,2019-07-24 10:03:30,-64.48305017659237,-64.0,1.2503473990474643,2.571259754007545,-54.0,-78.0,1.0565925925925927,0.050605760738704667,2,3819.0,0
PID002A,2019-07-24 12:20:00,-64.33929981574099,-64.0,1.007654936782415,1.6098221336441918,-53.0,-78.0,1.013107142857143,0.006087870671439173,1,3721.0,0
PID006,2019-08-01 15:38:30,-64.48703751855302,-64.0,1.1050949744196366,1.1936853274195467,-53.0,-78.0,1.138043141727565,0.010596146711099898,3,4538.165490730041,1
PID003,2019-07-31 12:07:30,-64.67092105263157,-65.0,0.9600964950757974,1.4407058575975171,-53.0,-77.0,1.0094137931034484,0.0035306539396235646,1,2983.0,0
PID005,2019-08-01 11:40:30,-64.42294159042928,-64.0,0.821311452063192,1.2812154418417614,-54.0,-76.0,1.0131428571428571,0.00687838420794953,1,2826.0,0
PID004,2019-07-31 16:14:00,-64.7050505050505,-64.0,0.7841534408254444,0.7967491001973761,-57.0,-78.0,1.0114827586206894,0.0037855051526954316,1,2950.0,0
PID004,2019-07-31 15:47:30,-64.28738521066961,-64.0,0.906736059223952,1.1896587991500929,-55.0,-78.0,1.0114827586206896,0.0030545129335270223,4,2976.0,0
PID002C,2019-07-30 13:28:00,-64.3196995561625,-64.0,0.9189959761763444,1.1197832409634534,-54.0,-76.0,1.0111785714285717,0.005956966487688993,1,2897.0,0
PID001,2019-07-24 10:00:00,-64.23814284017577,-64.0,1.2105226885696643,2.42520007013059,-54.0,-76.0,1.0521428571428573,0.03747860059614693,1,3883.0,0
PID002D,2019-07-30 14:01:30,-64.6331574907204,-64.0,1.296472805215466,2.1192813849165484,-54.0,-77.0,1.1083276751824038,0.004022917154735155,3,1943.7237402027517,1
PID001,2019-07-24 09:48:00,-64.81792654363731,-64.0,1.5060653910500519,2.810742598786077,-54.0,-77.0,0.9330369166020759,0.07237471934315186,3,2632.0739181058925,1
PID004,2019-07-31 16:24:30,-64.06369492021666,-64.0,0.8354067567407615,0.9908469548513162,-55.0,-79.0,1.0119655172413793,0.0059490861160151065,1,2886.0,0
PID002B,2019-07-30 11:58:00,-64.21436189121934,-64.0,0.7796711720068045,0.8831445838200193,-54.0,-77.0,1.0112500000000002,0.005561940775051924,1,2813.0,0
PID002E,2019-07-30 15:24:00,-64.44642857142857,-64.0,0.8679955059107527,1.3002915451895043,-55.0,-76.0,1.0114285714285713,0.002819996622760579,2,778.0,0
